model,engine,device,dtype,score_threshold,max_detections,map,map_50,map_75,map_small,map_medium,map_large,mar_100,inference_mean_ms,total_mean_ms,total_p50_ms,total_p95_ms,total_p99_ms,throughput_images_per_second
yolov5xu,ultralytics,auto,float32,0.001,,0.5230633020401001,0.6895254254341125,0.5704625844955444,0.3567664325237274,0.5765520930290222,0.6826633214950562,0.6777321100234985,15.18205022374168,16.584838789794595,16.003467375412583,20.72158025112003,22.976360737811778,60.29603378570948
dfine-medium-coco,transformers,auto,float32,0.001,,0.5227160453796387,0.6984294056892395,0.5640549063682556,0.3319863975048065,0.5650447010993958,0.7014167904853821,0.7203317284584045,24.517584976693616,28.054428310599178,27.932444238103926,29.395802097860724,29.763416487257928,35.64499653775487
yolo11l,ultralytics,auto,float32,0.001,,0.5225275158882141,0.6864870190620422,0.5699222087860107,0.35387122631073,0.5794347524642944,0.6844409704208374,0.6752618551254272,14.594604174187406,15.99768786067143,15.909718465991318,17.211880744434893,17.644114412833012,62.50903309961378
yolo26m,ultralytics,auto,float32,0.001,,0.5220937132835388,0.6934478878974915,0.5701993107795715,0.3562973737716675,0.5682397484779358,0.6832419037818909,0.7209756970405579,10.083335909945891,11.49309172378853,11.397661408409476,12.7139289281331,13.38435875019059,87.00878963057336
yolov10b,ultralytics,auto,float32,0.001,,0.5198619365692139,0.6886794567108154,0.5682159066200256,0.34824100136756897,0.573642373085022,0.6794991493225098,0.7010752558708191,9.84017962072976,11.245002832217143,11.142773437313735,12.417553120758384,12.951578297652308,88.92839022992341
yolov8l,ultralytics,auto,float32,0.001,,0.5197879672050476,0.6857826709747314,0.566497266292572,0.3471117913722992,0.5733698606491089,0.6882550716400146,0.6736969947814941,10.268972724396736,11.669356102589518,11.442501563578844,13.444790034554899,14.560140362009406,85.69453114710352
yolov9c,ultralytics,auto,float32,0.001,,0.5186088681221008,0.6840897798538208,0.5661275386810303,0.34417200088500977,0.5698542594909668,0.6811941266059875,0.673742413520813,12.961743870051578,14.36588657349348,14.229030231945217,15.608989621978253,16.52623839210719,69.60934815155102
yolo12m,ultralytics,auto,float32,0.001,,0.5151187181472778,0.6816834807395935,0.5604071021080017,0.3457965552806854,0.5677231550216675,0.6830409169197083,0.6665541529655457,12.799391029542312,14.202247181721031,14.082460547797382,15.395299927331507,16.147962303366516,70.41139245112193
yolov5lu,ultralytics,auto,float32,0.001,,0.5147844552993774,0.6806616187095642,0.5618728399276733,0.335124135017395,0.5715495944023132,0.6798786520957947,0.6677594780921936,10.82451154361479,12.227478521922603,11.936880415305495,13.317566982004791,14.024055309128034,81.78301014449573
dfine-small-obj2coco,transformers,auto,float32,0.001,,0.5069753527641296,0.6763596534729004,0.5508505702018738,0.3287905752658844,0.5459932088851929,0.6645827889442444,0.7221696376800537,19.410214825719596,23.03860780526884,22.93713006656617,24.334735109005123,24.707643827423453,43.40540055425154
